timestamp,sol_usd_price,msol_usd_price,spread_pct,baseline_theta_avg,baseline_sigma_avg,theta,sigma,z_score,regime_flag,ltv_with_oracle,ltv_no_oracle,bad_debt_with_oracle,bad_debt_no_oracle
2026-04-13 15:36:00+00:00,82.57635071,113.01779288410785,0.3686460095701636,531.096256,0.027944,376.337912,0.025657,-0.0933,0,0.6174,0.8,2063.70489806381,0.0
2026-04-13 15:38:00+00:00,82.5328894727842,112.9025996176535,0.3679710033038878,531.096256,0.027944,365.698126,0.025777,-0.6568,0,0.5972,0.8,2298.880181562362,9.21546131634932
2026-04-13 15:40:00+00:00,82.48942823556843,112.91728357696965,0.36886975691608814,531.096256,0.027944,366.434126,0.025705,0.1744,0,0.6,0.8,2266.3864161104484,8.040744571055257
2026-04-13 15:42:00+00:00,82.44596699835263,112.86565880530217,0.36896518913481074,531.096256,0.027944,354.299248,0.024741,0.2454,0,0.6028,0.8,2237.881517945013,12.170726304453638
2026-04-13 15:44:00+00:00,82.40250576113684,112.68655377204976,0.3675136785123794,531.096256,0.027944,325.154422,0.024419,-1.0383,0,0.5605,0.8,2725.342091805239,26.499128964647753
2026-04-13 15:46:00+00:00,82.35904452392106,112.65394504052126,0.36783938778941394,531.096256,0.027944,329.409534,0.024308,-0.7379,0,0.5704,0.8,2615.6424056172946,29.107827486926908
2026-04-13 15:48:00+00:00,82.31558328670526,112.65358598317509,0.3685572219151084,531.096256,0.027944,334.478085,0.024351,-0.0954,0,0.5782,0.8,2527.793089181444,29.13655207462034
2026-04-13 15:50:00+00:00,82.27212204948947,112.5757668130283,0.3683343033902805,531.096256,0.027944,338.32925,0.024304,-0.3114,0,0.586,0.8,2444.4834954851704,35.36208568636357
2026-04-13 15:52:00+00:00,82.22866081227369,112.52865727309425,0.3684846154796906,531.096256,0.027944,341.508996,0.024278,-0.1847,0,0.5921,0.8,2378.601633588718,39.13084888108824
2026-04-13 15:54:00+00:00,82.1851995750579,112.4346821194326,0.36806484258456457,531.096256,0.027944,352.595975,0.023856,-0.5831,0,0.6221,0.8,2046.8618560787263,46.64886117401875
2026-04-13 15:56:00+00:00,82.1417383378421,112.4466582656278,0.3689344849648068,531.096256,0.027944,376.536609,0.02376,0.2042,0,0.6671,0.8,1540.1068578285958,45.69076947840222
2026-04-13 15:58:00+00:00,82.0982771006263,112.38297536472612,0.36888348128159176,531.096256,0.027944,401.741403,0.023383,0.1188,0,0.7232,0.8,913.8866523516353,50.785401550538154
2026-04-13 16:00:00+00:00,82.05481586341052,112.29416493442619,0.3685261949932649,531.096256,0.027944,384.060858,0.023286,-0.2815,0,0.6942,0.8,1245.9625009807614,57.890235974531606
2026-04-13 16:02:00+00:00,82.01135462619473,112.278374628159,0.3690588960506803,531.096256,0.027944,389.040707,0.022965,0.2577,0,0.7131,0.8,1034.8525359946098,59.153460475907195
2026-04-13 16:04:00+00:00,81.96789338897894,112.19172842188418,0.36872772720262464,531.096256,0.027944,402.304966,0.022842,-0.1099,0,0.7414,0.8,723.5286855301347,66.08515697789335
2026-04-13 16:06:00+00:00,81.92443215176316,112.07767841070294,0.3680617059765709,531.096256,0.027944,421.344149,0.022693,-0.82,0,0.7815,0.8,282.55286293219433,75.2091578723921
2026-04-13 16:08:00+00:00,81.88097091454736,112.0686960276369,0.368678152883581,531.096256,0.027944,372.650577,0.02144,-0.2081,0,0.7316,0.8,842.4776293467112,75.92774851767535
2026-04-13 16:10:00+00:00,81.83750967733157,111.95467190161905,0.3680117142253381,531.096256,0.027944,391.437324,0.021307,-0.8855,0,0.7733,0.8,383.9686525764264,85.04967859910357
2026-04-13 16:12:00+00:00,81.79404844011579,111.97065466444418,0.36893400925645237,531.096256,0.027944,354.720008,0.020507,0.1631,0,0.7281,0.8,888.8400646104465,83.77105757309255
2026-04-13 16:14:00+00:00,81.7505872029,111.87306156156323,0.3684679876843097,531.096256,0.027944,375.188231,0.02005,-0.3773,0,0.7877,0.8,229.18237152429356,91.57850580356899
2026-04-13 16:16:00+00:00,81.7505872029,111.86535673757807,0.36837373974984483,531.096256,0.027944,413.527002,0.019464,-0.5293,0,0.8,0.8,92.19489172238173,92.19489172238173
2026-04-13 16:18:00+00:00,81.44635854238946,111.6801813938614,0.3712114745527448,531.096256,0.027944,500.235613,0.021687,2.584,1,0.4,0.8,4574.216174974172,107.00891921971561
2026-04-13 16:20:00+00:00,81.14212988187894,111.61894041580142,0.37559786239637155,531.096256,0.027944,151.32624,0.031525,4.8225,1,0.4,0.8,4576.665814096571,111.90819746451416
2026-04-13 16:22:00+00:00,80.83790122136841,111.38387649800251,0.3778670006905087,531.096256,0.027944,1e-06,0.032556,4.4289,1,0.4,0.8,4586.068370808528,130.71331088842817
2026-04-13 16:24:00+00:00,80.5336725608579,111.20477574696154,0.3808481869857113,531.096256,0.027944,1e-06,0.032915,4.2396,1,0.4,0.8,4593.2324008501655,145.04137097170315
2026-04-13 16:26:00+00:00,80.22944390034736,111.04198361453341,0.3840552572252423,531.096256,0.027944,1e-06,0.032903,4.027,1,0.4,0.8,4599.7440861472915,158.06474156595505
2026-04-13 16:28:00+00:00,79.92521523983685,110.91893235285968,0.38778396805085785,531.096256,0.027944,1e-06,0.032867,3.8683,1,0.4,0.8,4604.666136614241,167.90884249985356
2026-04-13 16:30:00+00:00,79.62098657932631,110.73958867632774,0.39083416865223086,531.096256,0.027944,1e-06,0.032059,3.5997,1,0.4,0.8,4611.839883675518,182.25633662240762
2026-04-13 16:32:00+00:00,79.31675791881578,110.56935176848886,0.39402258324352446,531.096256,0.027944,1e-06,0.031711,3.401,1,0.4,0.8,4618.649359989074,195.87528924951948
2026-04-13 16:34:00+00:00,79.01252925830526,110.39568580214711,0.39719215216165293,531.096256,0.027944,1e-06,0.032168,3.2246,1,0.4,0.8,4625.595998642743,209.7685665568588
2026-04-13 16:36:00+00:00,78.70830059779473,110.3060790845626,0.4014542080921663,531.096256,0.027944,1e-06,0.031793,3.1604,1,0.4,0.8,4629.180267346124,216.93710396362076
2026-04-13 16:38:00+00:00,78.40407193728421,109.99837205493687,0.402967592587858,531.096256,0.027944,1e-06,0.034177,2.8709,1,0.4,0.8,4641.488548531153,241.55366633367885
2026-04-13 16:40:00+00:00,78.09984327677368,109.81284590446995,0.40605718650817674,531.096256,0.027944,1e-06,0.034444,2.7654,1,0.4,0.8,4648.909594549829,256.39575837103075
2026-04-13 16:42:00+00:00,77.79561461626315,109.61561385116937,0.4090204748926075,531.096256,0.027944,1e-06,0.034419,2.6603,1,0.4,0.8,4656.7988766818535,272.1743226350791
2026-04-13 16:44:00+00:00,77.49138595575263,109.50316478105476,0.41310112640882146,531.096256,0.027944,1e-06,0.034437,2.6316,1,0.4,0.8,4661.296839486437,281.170248244247
2026-04-13 16:46:00+00:00,77.1871572952421,109.3425632464975,0.4165901048572169,531.096256,0.027944,1e-06,0.03291,2.5571,1,0.4,0.8,4667.720900868728,294.01837100882767
2026-04-13 16:48:00+00:00,76.88292863473158,109.09271050459427,0.41894582375874817,531.096256,0.027944,1e-06,0.033886,2.4304,0,0.4,0.8,4677.715010544857,314.00659036108664
2026-04-13 16:50:00+00:00,76.57869997422105,108.86696211860558,0.4216350258655976,531.096256,0.027944,1e-06,0.034631,2.3387,0,0.4,0.8,4686.744945984404,332.0664612401797
2026-04-13 16:52:00+00:00,76.27447131371054,108.67609840068161,0.424803037358409,531.096256,0.027944,1e-06,0.033969,2.2793,0,0.4,0.8,4694.379494701364,347.33555867409996
2026-04-13 16:54:00+00:00,75.9702426532,108.55486273891991,0.42891293943165243,531.096256,0.027944,1e-06,0.03355,2.2638,0,0.4,0.8,4699.228921171832,357.0344116150354
2026-04-13 16:56:00+00:00,75.9702426532,108.54725853393997,0.4288128449115565,531.096256,0.027944,1e-06,0.037903,2.0719,0,0.4,0.8,4699.533089371029,357.6427480134298
2026-04-13 16:58:00+00:00,76.18754883927895,108.6306460692863,0.42583201224188905,531.096256,0.027944,1e-06,0.04684,1.797,0,0.4,0.8,4696.1975879571755,350.9717451857232
2026-04-13 17:00:00+00:00,76.4048550253579,108.67958228525549,0.4224172305436086,531.096256,0.027944,1e-06,0.053211,1.5429,0,0.4,0.8,4694.240139318408,347.0568479081885
2026-04-13 17:02:00+00:00,76.62216121143685,108.7964755713257,0.4199087294223491,531.096256,0.027944,1e-06,0.055378,1.3534,0,0.4,0.8,4689.5644078755995,337.70538502257114
